date,title,authors,abstract,title_trans,abst_trans
  [Submitted on 9 Dec 2024]",Title:Optimising entanglement distribution policies under classical communication constraints assisted by reinforcement learning,"Authors:Jan Li, Tim Coopmans, Patrick Emonts, Kenneth Goodenough, Jordi Tura, Evert van Nieuwenburg","Abstract:Quantum repeaters play a crucial role in the effective distribution of entanglement over long distances. The nearest-future type of quantum repeater requires two operations: entanglement generation across neighbouring repeaters and entanglement swapping to promote short-range entanglement to long-range. For many hardware setups, these actions are probabilistic, leading to longer distribution times and incurred errors. Significant efforts have been vested in finding the optimal entanglement-distribution policy, i.e. the protocol specifying when a network node needs to generate or swap entanglement, such that the expected time to distribute long-distance entanglement is minimal. This problem is even more intricate in more realistic scenarios, especially when classical communication delays are taken into account. In this work, we formulate our problem as a Markov decision problem and use reinforcement learning (RL) to optimise over centralised strategies, where one designated node instructs other nodes which actions to perform. Contrary to most RL models, ours can be readily interpreted. Additionally, we introduce and evaluate a fixed local policy, the `predictive swap-asap' policy, where nodes only coordinate with nearest neighbours. Compared to the straightforward generalization of the common swap-asap policy to the scenario with classical communication effects, the `wait-for-broadcast swap-asap' policy, both of the aforementioned entanglement-delivery policies are faster at high success probabilities. Our work showcases the merit of considering policies acting with incomplete information in the realistic case when classical communication effects are significant.    ",タイトル：強化学習によって支援された古典的なコミュニケーション制約の下でのエンタングルメント配布ポリシーの最適化,著者：Jan Li、Tim Coopmans、Patrick Emonts、Kenneth Goodenough、Jordi Tura、Evert Van Nieuwenburg
"
  [Submitted on 9 Dec 2024]",Title:Rapid optimal work extraction from a quantum-dot information engine,"Authors:Kushagra Aggarwal, Alberto Rolandi, Yikai Yang, Joseph Hickie, Daniel Jirovec, Andrea Ballabio, Daniel Chrastina, Giovanni Isella, Mark T. Mitchison, Martí Perarnau-Llobet, Natalia Ares","Abstract:The conversion of thermal energy into work is usually more efficient in the slow-driving regime, where the power output is vanishingly small. Efficient work extraction for fast driving protocols remains an outstanding challenge at the nanoscale, where fluctuations play a significant role. In this Letter, we use a quantum-dot Szilard engine to extract work from thermal fluctuations with maximum efficiency over two decades of driving speed. We design and implement a family of optimised protocols ranging from the slow- to the fast-driving regime, and measure the engine's efficiency as well as the mean and variance of its power output in each case. These optimised protocols exhibit significant improvements in power and efficiency compared to the naive approach. Our results also show that, when optimising for efficiency, boosting the power output of a Szilard engine inevitably comes at the cost of increased power fluctuations.    ",タイトル：量子ドット情報エンジンからの迅速な最適作業抽出,著者：Kushagra Aggarwal、Alberto Rolandi、Yikai Yang、Joseph Hickie、Daniel Jirovec、Andrea Ballabio、Daniel Chrastina、Giovanni Isella、Mark T. Mitchison、MartíPerarnau-Lobet、Natalia Ares
"
  [Submitted on 9 Dec 2024]",Title:Off-Shell Quantum Mechanics as Factorization Algebras on Intervals,"Authors:Christoph Chiaffrino, Noah Hassan, Olaf Hohm","Abstract:We present, for the harmonic oscillator and the spin-$\frac{1}{2}$ system, an alternative formulation of quantum mechanics that is `off-shell': it is based on classical off-shell configurations and thus similar to the path integral. The core elements are Batalin-Vilkovisky (BV) algebras and factorization algebras, following a program by Costello and Gwilliam. The BV algebras are the spaces of quantum observables ${\rm Obs}^q(I)$ given by the symmetric algebra of polynomials in compactly supported functions on some interval $I\subset\mathbb{R}$, which can be viewed as functionals on the dynamical variables. Generalizing associative algebras, factorization algebras include in their data a topological space, which here is $\mathbb{R}$, and an assignment of a vector space to each open set, which here is the assignment of ${\rm Obs}^q(I)$ to each open interval $I$. The central structure maps are bilinear ${\rm Obs}^q(I_1)\otimes {\rm Obs}^q(I_2)\rightarrow {\rm Obs}^q(J)$ for disjoint intervals $I_1$ and $I_2$ contained in an interval $J$, which here is the wedge product of the symmetric algebra. We prove, as the central result of this paper, that this factorization algebra is quasi-isomorphic to the factorization algebra of `on-shell' quantum mechanics. In this we extend previous work by including half-open and closed intervals, and by generalizing to the spin-$\frac{1}{2}$ system.    ",タイトル：間隔での因数分解代数としてのオフシェル量子力学,著者：クリストフ・チアフリーノ、ノア・ハッサン、オラフ・ホーム
"
  [Submitted on 9 Dec 2024]",Title:A generic multi-Pauli compilation framework for limited connectivity,"Authors:Adam Glos, Özlem Salehi","Abstract:Efficient and effective compilation of quantum circuits remains an important aspect of executing quantum programs. In this paper, we propose a generic compilation framework particularly suitable for limited connectivity, that extends many of the known techniques for Pauli network synthesis. Our compilation method, built on the introduced Clifford Executive Representation, stands out by considering the implementation of multiple Pauli operators at once, which are not necessarily commuting. The proposed technique also allows for effective Clifford circuit synthesis. We benchmark our methods against circuits resulting from the Variational Quantum Eigensolver algorithm and the results show that the proposed methods outperform the state-of-the-art.    ",タイトル：制限された接続のための一般的なマルチポーリコンピレーションフレームワーク,著者：アダム・グロス、ÖzlemSalehi
"
  [Submitted on 9 Dec 2024]",Title:Merging black holes with Cauchy-characteristic matching: Computation of late-time tails,"Authors:Sizheng Ma, Mark A. Scheel, Jordan Moxon, Kyle C. Nelli, Nils Deppe, Lawrence E. Kidder, William Throwe, Nils L. Vu","Abstract:We present successful evolutions of binary black hole mergers using a novel numerical-relativity technique known as Cauchy-characteristic matching (CCM). This approach eliminates systematic errors associated with boundary conditions, effectively extending the computational domain to infinity. As an important application, we use CCM to resolve a late-time power-law tail in the gravitational wave from a head-on collision, and show that the tail is highly suppressed in a quasi-circular binary. Our results for the two extreme cases (orbital eccentricity $=0,1$) support the fact that tails increase with orbital eccentricity. Therefore, CCM paves the way for a detailed understanding of tails in eccentric systems. For the head-on case, we find that the tail behavior is consistent with predictions in the intermediate regime from black hole linear perturbation theory. However, we also raise the possibility that the power-law tail could be generated nonlinearly by quasinormal modes. The nonlinear contribution is expected to decay slower than predicted by Price's law, potentially dominating the signal at late times. If confirmed as nonlinear, this would be an example where nonlinearity prevails over linearity in the late-time regime of black hole dynamics.    ",タイトル：ブラックホールとコーシーの特徴的なマッチングとの融合：最近の尾の計算,著者：Sizheng MA、Mark A. Scheel、Jordan Moxon、Kyle C. Nelli、Nils Deppe、Lawrence E. Kidder、William Throwe、Nils L. Vu
"
  [Submitted on 9 Dec 2024]",Title:Nonrelativistic Proca stars: Spherical stationary and multi-frequency states,"Authors:Emmanuel Chávez Nambo, Alberto Diez-Tejedor, Edgar Preciado-Govea, Armando A. Roque, Olivier Sarbach","Abstract:In this paper we follow an effective theory approach to study the nonrelativistic limit of a selfgravitating and selfinteracting massive vector field. Our effective theory is characterized by three parameters: the field's mass $m_0$ and the selfinteraction constants $\lambda_n$ and $\lambda_s$. For definiteness, we focus on a systematic study of the equilibrium configurations, commonly referred to as Proca stars when they have finite energy. We identify two different types of Proca stars, depending on the specific sector of the effective theory that we are exploring. In the generic sector, defined by $\lambda_s\neq 0$, all equilibrium configurations are stationary states described by wave functions that evolve harmonically in time. However, in the symmetry-enhanced sector, for which $\lambda_s=0$, there exist multi-frequency states whose wave functions oscillate with two or three distinct frequencies in addition to the stationary states. We determine the conditions under which a ground state configuration with fixed particle number exists. When these conditions are met, we prove that the lowest energy is reached by a stationary spherically symmetric configuration of constant polarization that is linear or circular depending on the sign of $\lambda_s$. We numerically construct some illustrative examples of spherical stationary and multi-frequency solutions, analyze their properties, and compare them with our analytical predictions. Unlike stationary states and other soliton configurations, which form a discrete set in the solution space associated with fixed particle number, the symmetry-enhanced sector exhibits a continuum of solutions with multi-frequency states connecting stationary states of constant polarization.    ",タイトル：非相対論的PROCAスター：球状の固定および多周波状態,著者：エマニュエル・チャベス・ナンボ、アルベルト・ディーズ・テジェダー、エドガー・プレシアド・ゴヴェア、アルマンド・A・ロケ、オリビエ・サルバッハ
"
  [Submitted on 9 Dec 2024]",Title:Robust Catalysis and Resource Broadcasting: The Possible and the Impossible,"Authors:Jeongrak Son, Ray Ganardi, Shintaro Minagawa, Francesco Buscemi, Seok Hyung Lie, Nelly H.Y. Ng","Abstract:In resource theories, catalysis refers to the possibility of enabling otherwise inaccessible quantum state transitions by providing the agent with an auxiliary system, under the condition that this auxiliary is returned to its initial state at the end of the protocol. Most studies to date have focused on fine-tuned catalytic processes that are highly sensitive to error: if the initial state of the system deviates even slightly from that for which the catalyst was designed, the catalyst would be irreparably degraded. To address this challenge, we introduce and study robust catalytic transformations and explore the extent of their capabilities. It turns out that robust catalysis is subtly related to the property of resource broadcasting. In particular, we show that the possibility of robust catalysis is equivalent to that of resource broadcasting in completely resource non-generating theories. This allows us to characterize a general class of resource theories that allow neither robust catalysis nor resource broadcasting, and another class where instead resource broadcasting and robust catalysis are possible and provide maximal advantage. Our approach encompasses a wide range of quantum resource theories, including entanglement, coherence, thermodynamics, magic, and imaginarity.    ",タイトル：堅牢な触媒とリソース放送：可能性と不可能,著者：Jeongrak Son、Ray Ganardi、Shintaro Minagawa、Francesco Buscemi、Seok Hyung Lie、Nelly H.Y.ng
"
  [Submitted on 9 Dec 2024]",Title:The long-range origin of the black hole entropy,"Authors:Andrea Solfanelli, Francesco Petocchi, Nicolò Defenu","Abstract:The Sachdev-Ye-Kitaev (SYK) model, has emerged as a powerful tool for exploring the quantum nature of black holes, particularly their residual entropy at zero temperature. In this work, we investigate the role of long-range interactions in a chain of SYK dots with power-law decaying couplings and demonstrate how these interactions can lead to finite residual entropy in the strong non-local case. Indeed, as a function of the interaction range, the black-hole phase, found in the isolated SYK, melts into a long-range Fermi-liquid phase in the weak long-range regime and finally reaches the non Fermi-liquid phase in the purely local case. Our results pave the way to the understanding of the role of the interaction range in black hole thermodynamics and quantum information.    ",タイトル：ブラックホールエントロピーの長距離起源,著者：Andrea Solfanelli、Francesco Petocchi、NicolòDefenu
"
  [Submitted on 9 Dec 2024]",Title:Causality bounds from charged shockwaves in 5d,"Authors:Sera Cremonini, Brian McPeak, Mohammad Moezzi, Muthusamy Rajaguru","Abstract:Effective field theories are constrained by the requirement that their constituents never move superluminally on non-trivial backgrounds. In this paper, we study time delays experienced by photons propagating on charged shockwave backgrounds in five dimensions. In the absence of gravity -- where the shockwaves are electric fields sourced by boosted charges -- we derive positivity bounds for the four-derivative corrections to electromagnetism, reproducing previous results derived from scattering amplitudes. By considering the gravitational shockwaves sourced by Reissner-Nordström black holes, we derive new constraints in the presence of gravity. We observe the by-now familiar weakening of positivity bounds in the presence of gravity, but without the logarithmic divergences present in 4d. We find that the strongest bounds appear by examining the time delay near the horizon of the smallest possible black hole, and discuss on the validity of the EFT expansion in this region. We comment on our bounds in the context of the swampland program as well as their relation with the positivity bounds obtained from dispersion relations.    ",タイトル：5Dの充電された衝撃波からの因果関係の範囲,著者：セラ・クレモニーニ、ブライアン・マクピーク、モハマド・モエッツィ、ムトゥサミー・ラジャグル
"
  [Submitted on 9 Dec 2024]",Title:Continuous order-to-order quantum phase transitions from fixed-point annihilation,"Authors:David Jonas Moser, Lukas Janssen","Abstract:A central concept in the theory of phase transitions beyond the Landau-Ginzburg-Wilson paradigm is fractionalization: the formation of new quasiparticles that interact via emergent gauge fields. This concept has been extensively explored in the context of continuous quantum phase transitions between distinct orders that break different symmetries. We propose a mechanism for continuous order-to-order quantum phase transitions that operates independently of fractionalization. This mechanism is based on the collision and annihilation of two renormalization group fixed points: a quantum critical fixed point and an infrared stable fixed point. The annihilation of these fixed points rearranges the flow topology, eliminating the disordered phase associated with the infrared stable fixed point and promoting a second critical fixed point, unaffected by the collision, to a quantum critical point between distinct orders. We argue that this mechanism is relevant to a broad spectrum of physical systems. In particular, it can manifest in Luttinger fermion systems in three spatial dimensions, leading to a continuous quantum phase transition between an antiferromagnetic Weyl semimetal state, which breaks time-reversal symmetry, and a nematic topological insulator, characterized by broken lattice rotational symmetry. This continuous antiferromagnetic-Weyl-to-nematic-insulator transition might be observed in rare-earth pyrochlore iridates $R_2$Ir$_2$O$_7$. Other possible realizations include kagome quantum magnets, quantum impurity models, and quantum chromodynamics with supplemental four-fermion interactions.    ",タイトル：固定点消滅からの継続的な注文から注文間の量子相遷移,著者：デビッド・ジョナス・モーザー、ルーカス・ヤンセン
"
  [Submitted on 9 Dec 2024]",Title:Late-time tails in nonlinear evolutions of merging black holes,"Authors:Marina De Amicis, Hannes Rüter, Gregorio Carullo, Simone Albanesi, C. Melize Ferrus, Keefe Mitman, Leo C. Stein, Vitor Cardoso, Sebastiano Bernuzzi, Michael Boyle, Nils Deppe, Lawrence E. Kidder, Jordan Moxon, Alessandro Nagar, Kyle C. Nelli, Harald P. Pfeiffer, Mark A. Scheel, William Throwe, Nils L. Vu, Anıl Zenginoğlu","Abstract:We uncover late-time gravitational-wave tails in fully nonlinear 3+1 dimensional numerical relativity simulations of merging black holes, using the highly accurate SpEC code. We achieve this result by exploiting the strong magnification of late-time tails due to binary eccentricity, recently observed in perturbative evolutions, and showcase here the tail presence in head-on configurations for several mass ratios close to unity. We validate the result through a large battery of numerical tests and detailed comparison with perturbative evolutions, which display striking agreement with full nonlinear ones. Our results offer yet another confirmation of the highly predictive power of black hole perturbation theory in the presence of a source, even when applied to nonlinear solutions. The late-time tail signal is much more prominent than anticipated until recently, and possibly within reach of gravitational-wave detectors measurements, unlocking observational investigations of an additional set of general relativistic predictions on the long-range gravitational dynamics.    ",タイトル：ブラックホールの融合の非線形進化の遅い時間尾,著者：マリーナ・デ・アミシス、ハンヌ・リューター、グレゴリオ・カルッロ、シモーヌ・アルバネシ、C。メリスフェルス、キーフミットマン、レオC.スタイン、ビトールカルドソー、セバスチャーノベルンツィ、マイケルボイル、ニルズデップ、ローレンスE.、Kyle C. Nelli、Harald P. Pfeiffer、Mark A. Scheel、William Throwe、Nils L. Vu、AnılZenginoğlu
"
  [Submitted on 9 Dec 2024]",Title:Counting microstates of out-of-equilibrium black hole fluctuations,"Authors:Vijay Balasubramanian, Ben Craps, Juan Hernandez, Mikhail Khramtsov, Maria Knysh","Abstract:We construct and count the microstates of out-of-equilibrium eternal AdS black holes in which a shell carrying an order one fraction of the black hole mass is emitted from the past horizon and re-absorbed at the future horizon. Our microstates have semiclassical interpretations in terms of matter propagating behind the horizon. We show that they span a Hilbert space with a dimension equal to the exponential of the horizon area of the intermediate black hole. This is consistent with the idea that, in a non-equilibrium setting, entropy is the logarithm of the number of microscopic configurations consistent with the dynamical macroscopic state. In our case, therefore, the entropy should measure the number of microstates consistent with a large and atypical macroscopic black hole fluctuation due to which part of the early time state becomes fully known to an external observer.    ",タイトル：平衡外のブラックホールの変動の微小状態のカウント,著者：Vijay Balasubramanian、Ben Craps、Juan Hernandez、Mikhail Khramtsov、Maria Knysh
"
  [Submitted on 9 Dec 2024]","Title:Reciprocal lumped-element superconducting circuits: quantization, decomposition, and model extraction","Authors:Basil M. Smitham, Andrew A. Houck","Abstract:In this work, we introduce new methods for the quantization, decomposition, and extraction (from electromagnetic simulations) of lumped-element circuit models for superconducting quantum devices. Our flux-charge symmetric procedures center on the network matrix, which encodes the connectivity of a circuit's inductive loops and capacitive nodes. First, we use the network matrix to demonstrate a simple algorithm for circuit quantization, giving novel predictions for the Hamiltonians of circuits with both Josephson junctions and quantum phase slip wires. We then show that by performing pivoting operations on the network matrix, we can decompose a superconducting circuit model into its simplest equivalent ""fundamental"" form, in which the harmonic degrees of freedom are separated out from the Josephson junctions and phase slip wires. Finally, we illustrate how to extract an exact, transformerless circuit model from electromagnetic simulations of a device's hybrid admittance/impedance response matrix, by matching the lumped circuit's network matrix to the network topology of the physical layout. Overall, we provide a toolkit of intuitive methods that can be used to construct, analyze, and manipulate superconducting circuit models.    ",タイトル：相互の塊の要素超伝導回路：量子化、分解、およびモデル抽出,著者：バジル・M・スミタム、アンドリュー・A・フック
